127.0.0.1 - - [31/Oct/2021:00:21:25 +0500] "GET / HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:21:33 +0500] "GET /people HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:21:34 +0500] "GET /people/new HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:21:40 +0500] "POST /people HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:21:49 +0500] "POST /people HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:22:12 +0500] "POST /people HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:22:59 +0500] "POST /people HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:04 +0500] "POST /people HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:04 +0500] "GET /people HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:06 +0500] "GET /people/3 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:08 +0500] "GET /people/3/edit HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:17 +0500] "POST /people/3 HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:20 +0500] "POST /people/3 HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:38 +0500] "POST /people/3 HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:51 +0500] "POST /people/3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2021:00:23:51 +0500] "GET /people HTTP/1.1" 200 464
